Number_Of_Dependant,Years_At_Residence,Years_At_Business,Nb_Of_Products,DAY(BirthDate),DAY(Prod_Decision_Date),DAY(Customer_Open_Date),YEAR(BirthDate),YEAR(Prod_Decision_Date),YEAR(Customer_Open_Date),MONTH(BirthDate),MONTH(Prod_Decision_Date),MONTH(Customer_Open_Date),WEEKDAY(BirthDate),WEEKDAY(Prod_Decision_Date),WEEKDAY(Customer_Open_Date),Net_Annual_Income_transform,Y
0.0,20,2.0,1,15,12,30,1985,2011,2010,2,6,5,4,6,6,396.0,0
7.0,50,50.0,1,3,30,17,1956,2011,2011,2,7,7,4,5,6,36.0,0
2.0,4,8.0,3,22,15,24,1978,2012,2009,4,2,11,5,2,1,150.0,0
0.0,15,1.0,2,4,22,17,1981,2011,2011,7,8,8,5,0,2,30.0,0
0.0,15,1.0,1,11,4,20,1990,2012,2011,7,1,12,2,2,1,30.0,0
0.0,15,1.0,1,5,11,5,1956,2012,2012,8,4,4,6,2,3,36.0,0
0.0,15,1.0,1,12,2,27,1979,2012,2011,9,1,12,2,0,1,30.0,0
0.0,15,4.0,1,20,6,24,1981,2011,2011,7,7,5,0,2,1,48.0,0
0.0,15,1.0,1,21,19,18,1975,2012,2012,12,1,1,6,3,2,36.0,0
0.0,15,1.0,1,23,19,28,1959,2011,2011,3,10,9,0,2,2,50.0,0
0.0,15,3.0,2,1,2,1,1986,2011,2011,1,11,11,2,2,1,564.0,0
0.0,20,20.0,1,23,14,12,1954,2011,2011,12,8,8,3,6,4,36.0,0
2.0,1,1.0,2,29,28,25,1963,2012,2012,10,3,3,1,2,6,36.0,0
0.0,10,10.0,1,16,2,29,1971,2011,1998,8,11,12,0,2,1,50.0,0
2.0,22,2.0,1,29,19,18,1976,2011,2011,11,9,9,0,0,6,18.0,0
0.0,10,3.0,1,11,24,23,1956,2012,2012,4,4,4,2,1,0,36.0,0
0.0,30,3.0,1,9,27,31,1981,2011,2007,4,9,12,3,1,0,32308.0,0
3.0,10,1.0,1,28,1,28,1949,2012,2011,10,2,12,4,2,2,36.0,0
1.0,5,5.0,1,7,5,2,1948,2012,2006,1,3,7,2,0,6,150.0,0
0.0,10,3.0,1,2,22,19,1970,2012,2012,6,1,1,1,6,3,36.0,0
0.0,40,20.0,1,1,3,15,1968,2011,1998,12,10,1,6,0,3,50.0,0
2.0,7,3.0,1,28,31,17,1978,2011,2011,9,7,7,3,6,6,36.0,1
0.0,10,1.0,1,25,15,14,1979,2012,2012,7,2,2,2,2,1,36.0,0
0.0,10,3.0,1,9,13,12,1970,2012,2012,1,2,2,4,0,6,36.0,0
1.0,20,5.0,1,6,13,8,1974,2012,2012,9,3,2,4,1,2,4992.0,0
0.0,15,1.0,1,1,4,26,1982,2012,2011,1,1,12,4,2,0,30.0,0
2.0,7,1.0,1,9,3,2,1972,2011,2011,11,10,10,3,0,6,20.0,1
0.0,29,4.0,1,13,18,24,1982,2011,2007,4,9,12,1,6,0,36.0,0
0.0,23,1.0,1,30,15,12,1988,2012,2012,9,3,3,4,3,0,30.0,0
0.0,23,5.0,1,27,4,10,1983,2011,2007,1,8,1,3,3,2,36.0,0
2.0,5,1.0,1,6,11,7,1976,2011,2011,4,12,12,1,6,2,25.0,0
3.0,50,1.0,1,14,20,17,1949,2011,2011,4,10,10,3,3,0,42744.0,0
0.0,10,1.0,1,11,18,17,1982,2011,2011,5,8,8,1,3,2,36.0,0
5.0,1,1.0,1,13,5,28,1953,2012,2011,1,1,11,1,3,0,36.0,0
0.0,12,2.0,1,25,16,13,1983,2011,2011,12,10,10,6,6,3,18.0,0
1.0,2,1.0,1,21,16,15,1985,2011,2011,9,8,8,5,1,0,400.0,0
2.0,2,2.0,1,23,3,15,1959,2011,2009,1,10,10,4,0,3,18.0,0
2.0,10,3.0,1,19,22,4,1953,2011,2006,2,12,1,3,3,2,36.0,0
3.0,10,10.0,1,20,21,9,1954,2011,2009,9,12,4,0,2,3,143844.0,0
1.0,1,1.0,1,7,22,19,1985,2012,2012,12,2,2,5,2,6,36.0,0
2.0,10,3.0,1,16,14,11,1967,2011,2011,11,12,12,3,2,6,36.0,0
0.0,1,1.0,1,27,6,5,1978,2011,2011,9,7,7,2,2,1,20.0,0
5.0,10,1.0,1,24,12,7,1961,2012,2012,4,2,2,0,6,1,36.0,0
0.0,15,1.0,1,11,19,18,1973,2012,2012,5,1,1,4,3,2,36.0,0
0.0,1,1.0,1,19,11,25,1969,2011,2011,8,9,8,1,6,3,36.0,1
0.0,10,3.0,1,22,5,3,1987,2012,2012,10,1,1,3,3,1,36.0,1
0.0,1,1.0,1,27,10,9,1957,2012,2012,4,1,1,5,1,0,25.0,1
0.0,15,1.0,1,4,15,28,1980,2012,2011,8,3,4,0,3,3,36.0,0
0.0,15,1.0,1,5,18,15,1987,2012,2012,5,3,3,1,6,3,36.0,0
2.0,22,1.0,1,1,2,1,1961,2011,2011,1,6,6,6,3,2,18.0,0
1.0,30,22.0,1,3,16,18,1970,2012,2011,1,2,4,5,3,0,4000.0,0
2.0,15,2.0,1,19,29,28,1982,2011,2011,12,8,8,6,0,6,90.0,0
5.0,10,3.0,1,30,3,25,1967,2012,2009,9,4,5,5,1,0,36.0,0
4.0,15,2.0,2,5,30,25,1956,2011,2011,4,5,5,3,0,2,18.0,0
0.0,10,10.0,1,22,23,8,1956,2012,2012,10,4,4,0,0,6,36.0,0
0.0,10,1.0,1,29,4,3,1989,2012,2012,8,4,4,1,2,1,36.0,0
3.0,10,3.0,1,2,28,25,1963,2011,2010,3,12,5,5,2,1,36.0,0
0.0,12,1.0,1,9,11,7,1961,2011,2011,4,7,7,6,0,3,20.0,0
2.0,15,15.0,1,30,15,31,1952,2012,2010,5,1,10,4,6,6,36.0,0
2.0,3,12.0,1,6,6,16,1977,2011,2011,5,9,1,4,1,6,72.0,0
0.0,27,4.0,1,13,31,16,1984,2011,2011,7,7,1,4,6,6,45.0,0
0.0,15,21.0,1,18,10,2,1964,2011,2011,10,8,8,6,2,1,276.0,0
6.0,10,22.0,1,8,14,31,1962,2012,2001,12,3,10,5,2,2,126696.0,0
0.0,1,1.0,1,29,10,20,1988,2011,2009,6,11,12,2,3,6,36.0,0
0.0,1,1.0,1,3,29,24,1988,2011,2011,2,10,10,2,5,0,36.0,0
0.0,25,1.0,1,30,12,15,1986,2011,2009,7,9,3,2,0,6,25.0,0
0.0,1,1.0,1,4,26,21,1953,2012,2012,12,2,2,4,6,1,25.0,0
0.0,28,3.0,1,18,12,8,1983,2011,2010,6,6,11,5,6,0,24.0,0
0.0,1,1.0,1,20,5,3,1978,2012,2012,1,1,1,4,3,1,36.0,0
2.0,6,1.0,2,8,10,9,1975,2011,2011,5,10,10,3,0,6,20.0,0
3.0,3,14.0,1,28,17,12,1978,2012,2007,7,4,12,4,1,2,600.0,0
